idx,lon,lat
659,140.877,40.659
660,141.124,41.276
661,140.695,38.83
662,141.056,41.436
663,139.394,34.724
664,139.279,34.52
665,139.27,34.397
666,139.153,34.219
667,139.526,34.094
668,139.602,33.874
669,139.68,33.4
670,139.766,33.137
671,139.759,32.458
672,139.85,32.1
673,139.918,31.888
674,140.051,31.44
675,140.303,30.484
676,140.342,29.794
677,140.63,28.6
678,140.57,28.32
679,140.8,27.68
680,140.874,27.247
681,140.929,26.667
682,140.754,29.233
683,141.284,25.424
684,141.289,24.751
685,141.417,24.417
686,141.481,24.285
687,141.935,23.5
688,142.326,23.078
689,143.47,21.93
690,143.71,21.765
691,143.637,21.6
692,144.043,21.485
693,144.194,21.324
694,144.896,20.538
695,145.03,20.42
696,145.1,20.13
697,145.22,20.02
698,145.406,19.671
699,145.67,18.77
700,145.8,18.13
701,145.83,17.6
702,145.845,17.307
703,145.85,16.88
704,145.78,16.708
705,145.78,16.58
706,145.67,16.35
707,145.67,15.93
708,145.57,15.62
709,145.25,15.0
710,144.775,14.601
711,143.92,13.4
712,144.02,13.25
713,139.367,41.51
714,141.166,41.805
715,140.677,42.063
716,140.839,42.544
717,140.63,42.88
718,140.811,42.827
719,141.16,42.491
720,141.38,42.688
721,141.242,45.179
722,142.686,43.418
723,142.854,43.664
724,143.036,43.453
725,143.096,43.312
726,144.013,43.384
727,144.443,43.608
728,144.561,43.572
729,145.122,44.076
730,145.086,44.044
731,145.161,44.133
732,140.45,42.12
733,145.504,43.844
734,145.733,43.979
735,146.139,44.454
736,146.252,44.353
737,146.932,44.462
738,146.994,44.608
739,147.131,44.808
740,147.342,44.833
741,147.208,45.03
742,147.871,45.012
743,147.922,45.026
744,148.019,45.1
745,147.92,45.338
746,148.35,45.25
747,148.838,45.389
748,148.85,45.5
749,149.68,45.77
750,149.83,45.88
751,149.92,45.93
752,150.05,46.042
753,150.875,46.525
754,151.28,46.47
755,151.78,46.82
756,151.75,46.83
757,151.95,46.925
758,152.12,47.02
759,152.25,47.12
760,152.475,47.35
761,152.8,47.52
762,152.92,47.6
763,153.02,47.77
764,153.33,48.08
765,153.2,48.092
766,153.25,48.292
767,153.48,48.98
768,153.93,48.958
769,154.175,48.875
770,154.508,49.12
771,154.7,49.35
772,154.808,49.57
773,154.98,50.2
774,155.246,50.267
775,155.373,50.148
776,155.461,50.324
777,155.97,50.55
778,156.014,50.686
779,155.565,50.861
780,154.02,48.75
781,156.72,51.1
782,156.875,51.306
783,156.753,51.356
784,156.6,51.57
785,156.978,51.452
786,157.12,51.45
787,157.203,51.498
788,157.328,51.577
789,157.35,51.65
790,157.27,51.75
791,157.572,51.844
792,157.38,51.88
793,157.53,52.02
794,157.711,52.062
795,157.849,52.113
796,157.322,52.146
797,157.428,52.22
798,157.787,52.263
799,157.827,52.355
800,157.93,52.43
801,158.196,52.449
802,158.03,52.559
803,157.339,52.543
804,157.02,52.57
805,157.58,52.63
806,158.28,52.7
807,158.27,52.823
808,158.52,52.92
809,158.3,52.88
810,157.78,52.9
811,158.712,53.321
812,158.836,53.256
813,158.922,53.637
814,159.15,53.589
815,158.45,53.75
816,158.05,53.83
817,158.07,53.905
818,158.385,53.905
819,159.45,53.98
820,159.443,54.049
821,159.674,54.135
822,160.02,54.32
823,159.804,54.528
824,159.97,54.5
825,160.251,54.489
826,160.27,54.596
827,160.533,54.753
828,160.63,54.92
829,160.703,54.974
830,160.725,5.033
831,160.765,55.064
832,160.32,55.131
833,161.75,55.92
834,160.326,55.832
835,160.527,55.755
836,160.603,55.862
837,160.595,55.972
838,160.593,56.02
839,160.642,56.056
840,160.509,56.113
841,161.36,56.653
842,167.33,55.42
843,157.407,54.761
844,157.47,55.55
845,157.718,55.678
846,157.98,55.82
847,157.78,55.88
848,158.47,55.2
849,158.65,55.43
850,158.38,55.58
851,158.8,55.65
852,158.38,56.08
853,157.8,56.47
854,158.37,56.37
855,158.67,56.33
856,158.83,56.32
857,159.03,56.37
858,158.85,56.4
859,158.52,56.57
860,158.95,56.82
861,159.53,56.52
862,159.65,56.7
863,159.67,56.82
864,159.8,56.85
865,159.95,56.88
866,159.78,56.97
867,159.93,57.1
868,160.4,57.13
869,161.08,57.15
870,159.83,57.2
871,160.08,57.27
872,159.83,57.3
873,159.97,57.32
874,160.2,57.33
875,160.97,57.35
876,161.37,57.35
877,160.1,57.4
878,160.25,57.47
879,160.37,57.45
880,160.53,57.55
881,160.4,57.7
882,160.58,57.7
883,160.67,57.8
884,160.25,57.83
885,160.53,57.88
886,160.65,57.97
887,160.8,58.02
888,160.77,58.08
889,160.82,58.13
890,160.82,58.18
891,160.97,58.2
892,160.87,58.28
893,161.08,58.4
894,160.62,58.37
895,137.5,47.0
896,117.77,56.28
897,113.3,53.7
898,102.5,51.5
899,98.98,52.7
900,98.6,52.52
901,99.7,48.17
902,102.75,48.67
903,109.08,47.12
904,114.0,45.33
905,106.7,45.28
906,82.5,42.5
907,80.2,35.52
908,113.0,41.47
909,120.7,47.5
910,125.92,49.37
911,126.12,48.72
912,128.83,44.08
913,126.5,42.33
914,128.08,41.98
915,128.0,41.33
916,127.33,38.33
917,130.87,37.5
918,126.53,33.37
919,175.911,52.35
920,177.602,52.103
921,178.136,52.015
922,178.33,51.97
923,178.543,51.95
924,179.58,51.93
925,-178.794,51.79
926,-178.146,51.885
927,-178.006,51.873
928,-177.438,51.91
929,-177.168,51.923
930,-176.747,51.944
931,-176.13,52.076
932,-175.508,52.177
933,-175.13,52.22
934,-174.95,52.05
935,-174.137,52.332
936,-174.154,52.381
937,-172.51,52.315
938,-171.252,52.5
939,-171.13,52.577
940,-170.629,52.643
941,-170.111,52.742
942,-170.054,52.894
943,-169.944,52.825
944,-169.77,52.83
945,-169.77,53.065
946,-169.72,52.974
947,-168.693,53.13
948,-168.539,53.157
949,-168.13,53.43
950,-168.03,53.93
951,-166.923,53.891
952,-165.986,54.134
953,-164.65,54.518
954,-164.43,54.65
955,-163.97,54.756
956,-163.723,54.765
957,-163.589,54.8
958,-163.149,55.424
959,-176.592,51.988
960,-162.814,55.082
961,-162.272,55.168
962,-162.079,55.341
963,-161.887,55.42
964,-161.843,55.453
965,-161.214,55.641
966,-160.041,55.913
967,-160.002,55.929
968,-159.954,55.954
969,-159.797,56.011
970,-159.38,56.17
971,-158.785,56.552
972,-158.17,56.88
973,-157.185,57.019
974,-156.99,57.135
975,-156.745,57.203
976,-156.368,57.751
977,-156.51,57.832
978,-155.42,57.87
979,-155.361,58.172
980,-155.253,58.195
981,-155.1,58.236
982,-154.963,58.28
983,-155.157,58.27
984,-155.092,58.354
985,-154.682,58.336
986,-154.449,58.418
987,-154.4,58.43
988,-154.355,58.453
989,-154.028,58.608
990,-153.672,58.77
991,-153.542,58.855
992,-153.43,59.363
993,-153.09,60.032
994,-152.742,60.485
995,-152.251,61.299
996,-152.411,61.64
997,-170.3,57.18
998,-166.33,60.02
999,-164.47,61.43
1000,-162.12,63.45
1001,-170.43,63.6
1002,-163.92,65.6
1003,-148.42,64.07
1004,-144.13,62.22
1005,-144.02,62.0
1006,-143.08,62.13
1007,-141.75,61.38
1008,-135.75,57.05
1009,-133.1,56.5
1010,-133.3,55.25
1011,-131.05,55.32
1012,-137.38,62.93
1013,-135.42,60.42
1014,-133.32,59.68
1015,-130.58,59.37
1016,-131.97,58.6
1017,-131.35,58.42
1018,-130.63,57.72
1019,-130.68,57.43
1020,-131.28,56.78
1021,-130.55,56.58
1022,-128.9,55.12
1023,-130.23,54.7
1024,-128.73,52.5
1025,-124.7,52.47
1026,-123.73,52.9
1027,-120.57,52.33
1028,-126.3,51.43
1029,-123.4,50.8
1030,-123.5,50.63
1031,-123.03,49.92
1032,-123.0,49.85
1033,-123.28,50.12
1034,-121.813,48.777
1035,-121.113,48.112
1036,-121.76,46.853
1037,-121.49,46.206
1038,-122.18,46.2
1039,-122.08,45.88
1040,-121.82,45.93
1041,-121.695,45.374
1042,-121.8,44.674
1043,-121.774,44.411
1044,-121.93,44.38
1045,-121.841,44.285
1046,-121.77,44.17
1047,-121.688,43.979
1048,-121.82,43.57
1049,-121.229,43.722
1050,-120.861,43.512
1051,-122.108,43.241
1052,-122.12,42.93
1053,-118.75,43.1
1054,-117.46,43.147
1055,-122.193,41.409
1056,-121.554,41.611
1057,-121.841,40.731
1058,-121.508,40.492
1059,-122.77,38.97
1060,-119.03,38.0
1061,-119.0,37.88
1062,-119.02,37.692
1063,-119.032,37.631
1064,-117.45,37.02
1065,-118.32,36.358
1066,-117.82,36.03
1067,-116.625,34.75
1068,-115.62,33.2
1069,-118.87,37.7
1070,-114.352,43.183
1071,-113.5,43.42
1072,-113.22,42.88
1073,-112.45,43.5
1074,-110.67,44.43
1075,-118.87,39.53
1076,-119.72,39.375
1077,-112.67,37.58
1078,-112.5,38.97
1079,-105.93,33.78
1080,-108.0,34.8
1081,-106.57,35.87
1082,-107.035,39.661
1083,-113.13,36.38
1084,-111.678,35.347
1085,-128.64,48.78
1086,-129.1,47.95
1087,-129.33,46.88
1088,-129.58,46.52
1089,-130.0,45.95
1090,-130.3,44.83
1091,-126.78,42.67
1092,-127.05,42.15
1093,-127.5,40.98
1094,-129.879,44.267
1095,-155.27,18.92
1096,-155.287,19.421
1097,-155.608,19.475
1098,-155.47,19.82
1099,-155.87,19.692
1100,-156.25,20.708
1101,-158.772,21.822
1102,-163.83,23.58
1103,-148.85,-17.57
1104,-148.6,-17.642
1105,-148.67,-18.32
1106,-148.07,-17.87
1107,-129.27,-25.37
1108,-140.25,-28.98
1109,-105.32,16.55
1110,-105.43,15.83
1111,-103.58,10.73
1112,-104.3,9.83
1113,-86.15,0.792
1114,-107.95,-8.27
1115,-113.206,-17.436
1116,-113.35,-18.175
1117,-113.42,-18.53
1118,178.77,-49.68
1119,-139.845,-53.998
1120,-143.17,-55.97
1121,-115.305,32.418
1122,-113.498,31.772
1123,-115.996,30.468
1124,-114.4,29.97
1125,-114.5,29.33
1126,-113.513,29.08
1127,-118.28,29.07
1128,-113.75,28.5
1129,-112.591,27.47
1130,-111.88,27.43
1131,-111.92,26.0
1132,-110.82,19.3
1133,-110.95,18.78
1134,-104.45,24.15
1135,-105.886,21.848
1136,-104.73,21.45
1137,-104.508,21.125
1138,-104.83,20.62
1139,-103.62,19.514
1140,-101.75,19.85
1141,-100.25,19.4
1142,-99.758,19.73
1143,-99.758,19.108
1144,-99.13,19.08
1145,-98.7,19.308
1146,-98.642,19.179
1147,-98.622,19.023
1148,-98.032,19.231
1149,-97.47,19.27
1150,-97.45,19.68
1151,-96.526,19.809
1152,-96.75,19.67
1153,-97.15,19.492
1154,-97.25,19.33
1155,-97.27,19.15
1156,-97.268,19.03
1157,-95.2,18.57
1158,-93.228,17.36
1159,-92.112,15.13
1160,-112.53,27.6
1161,-111.475,26.52
1162,-103.52,20.62
1163,-100.63,19.85
1164,-91.903,15.034
1165,-91.552,14.756
1166,-91.48,14.82
1167,-91.186,14.583
1168,-91.189,14.612
1169,-90.876,14.501
1170,-90.88,14.473
1171,-90.743,14.465
1172,-90.601,14.381
1173,-90.4,14.33
1174,-90.407,14.156
1175,-90.269,14.336
1176,-90.1,14.03
1177,-89.992,14.308
1178,-89.9,14.43
1179,-89.87,14.33
1180,-89.78,14.4
1181,-89.73,14.12
1182,-89.68,14.42
1183,-89.63,14.55
1184,-89.55,14.83
1185,-89.45,14.57
1186,-91.479,14.71
1187,-89.48,14.27
1188,-89.65,14.05
1189,-89.786,13.891
1190,-89.63,13.853
1191,-89.633,13.813
1192,-89.55,13.87
1193,-89.294,13.734
1194,-89.25,14.02
1195,-89.12,13.9
1196,-89.053,13.672
1197,-88.837,13.595
1198,-88.77,13.72
1199,-88.532,13.435
1200,-88.502,13.494
1201,-88.471,13.419
1202,-88.43,13.47
1203,-88.33,13.478
1204,-88.269,13.434
1205,-88.105,13.428
1206,-87.845,13.275
1207,-87.767,13.229
1208,-87.641,13.272
1209,-87.63,13.33
1210,-87.98,14.98
1211,-86.9,16.1
1212,-87.57,12.98
1213,-87.004,12.702
1214,-86.845,12.602
1215,-86.75,12.55
1216,-86.702,12.506
1217,-86.688,12.495
1218,-86.54,12.422
1219,-86.342,12.242
1220,-86.32,12.12
1221,-86.161,11.984
1222,-85.98,11.92
1223,-85.968,11.826
1224,-85.82,11.73
1225,-85.622,11.538
1226,-86.4,13.17
1227,-86.142,12.53
1228,-85.73,12.3
1229,-83.87,12.53
1230,-85.473,10.98
1231,-85.324,10.83
1232,-85.153,10.748
1233,-85.015,10.673
1234,-84.703,10.463
1235,-84.366,10.3
1236,-84.233,10.2
1237,-84.1,10.135
1238,-83.852,9.979
1239,-83.767,10.025
1240,-82.543,8.808
1241,-80.17,8.58
1242,-80.82,8.47
1243,-75.364,5.206
1244,-75.3,5.092
1245,-75.322,4.895
1246,-75.37,4.82
1247,-75.33,4.67
1248,-75.392,4.48
1249,-76.03,2.93
1250,-76.4,2.32
1251,-76.592,2.108
1252,-76.78,1.57
1253,-76.92,1.47
1254,-77.37,1.22
1255,-77.68,1.08
1256,-77.87,0.95
1257,-77.964,0.828
1258,-77.58,0.552
1259,-78.287,0.468
1260,-78.364,0.308
1261,-78.183,0.258
1262,-78.27,0.13
1263,-77.986,0.029
1264,-77.656,-0.077
1265,-78.463,0.038
1266,-78.598,-0.171
1267,-78.617,-0.353
1268,-78.25,-0.375
1269,-78.141,-0.481
1270,-78.0,-0.53
1271,-77.626,-0.538
1272,-78.714,-0.659
